mode,step,epoch,metrics
train,step=900,epoch=30,loss=0.929381 loss_rec=0.924191 loss_eq=0.103792 acc/pixel_acc=0.692246 acc/mean_pixel_acc=0.391631 acc/iou=0.289679
val,step=930,epoch=30,loss=0.829499 loss_rec=0.829499 loss_eq=0.000000 acc/pixel_acc=0.709409 acc/mean_pixel_acc=0.383473 acc/iou=0.294724 best_acc/pixel_acc=0.709409 best_acc/mean_pixel_acc=0.383473 best_acc/iou=0.294724
val,step=961,epoch=31,loss=0.812403 loss_rec=0.812403 loss_eq=0.000000 acc/pixel_acc=0.715736 acc/mean_pixel_acc=0.391044 acc/iou=0.300692 best_acc/pixel_acc=0.715736 best_acc/mean_pixel_acc=0.391044 best_acc/iou=0.300692
val,step=992,epoch=32,loss=0.780270 loss_rec=0.780270 loss_eq=0.000000 acc/pixel_acc=0.720574 acc/mean_pixel_acc=0.382411 acc/iou=0.300609 best_acc/pixel_acc=0.720574 best_acc/mean_pixel_acc=0.391044 best_acc/iou=0.300692
train,step=1000,epoch=33,loss=0.835991 loss_rec=0.829164 loss_eq=0.136543 acc/pixel_acc=0.714516 acc/mean_pixel_acc=0.417741 acc/iou=0.316705
val,step=1023,epoch=33,loss=0.812774 loss_rec=0.812774 loss_eq=0.000000 acc/pixel_acc=0.722671 acc/mean_pixel_acc=0.399410 acc/iou=0.312568 best_acc/pixel_acc=0.722671 best_acc/mean_pixel_acc=0.399410 best_acc/iou=0.312568
val,step=1054,epoch=34,loss=0.772666 loss_rec=0.772666 loss_eq=0.000000 acc/pixel_acc=0.730605 acc/mean_pixel_acc=0.419420 acc/iou=0.327378 best_acc/pixel_acc=0.730605 best_acc/mean_pixel_acc=0.419420 best_acc/iou=0.327378
val,step=1085,epoch=35,loss=0.780928 loss_rec=0.780928 loss_eq=0.000000 acc/pixel_acc=0.733199 acc/mean_pixel_acc=0.427249 acc/iou=0.339651 best_acc/pixel_acc=0.733199 best_acc/mean_pixel_acc=0.427249 best_acc/iou=0.339651
train,step=1100,epoch=36,loss=0.869725 loss_rec=0.861947 loss_eq=0.155555 acc/pixel_acc=0.740753 acc/mean_pixel_acc=0.463271 acc/iou=0.361702
val,step=1116,epoch=36,loss=0.749722 loss_rec=0.749722 loss_eq=0.000000 acc/pixel_acc=0.745486 acc/mean_pixel_acc=0.457844 acc/iou=0.360854 best_acc/pixel_acc=0.745486 best_acc/mean_pixel_acc=0.457844 best_acc/iou=0.360854
val,step=1147,epoch=37,loss=0.797181 loss_rec=0.797181 loss_eq=0.000000 acc/pixel_acc=0.732487 acc/mean_pixel_acc=0.461776 acc/iou=0.355546 best_acc/pixel_acc=0.745486 best_acc/mean_pixel_acc=0.461776 best_acc/iou=0.360854
val,step=1178,epoch=38,loss=0.735369 loss_rec=0.735369 loss_eq=0.000000 acc/pixel_acc=0.750691 acc/mean_pixel_acc=0.448289 acc/iou=0.358234 best_acc/pixel_acc=0.750691 best_acc/mean_pixel_acc=0.461776 best_acc/iou=0.360854
train,step=1200,epoch=39,loss=0.825684 loss_rec=0.817032 loss_eq=0.173036 acc/pixel_acc=0.756997 acc/mean_pixel_acc=0.501716 acc/iou=0.397779
val,step=1209,epoch=39,loss=0.751572 loss_rec=0.751572 loss_eq=0.000000 acc/pixel_acc=0.743284 acc/mean_pixel_acc=0.472821 acc/iou=0.361896 best_acc/pixel_acc=0.750691 best_acc/mean_pixel_acc=0.472821 best_acc/iou=0.361896
